auipc    $25    0xFFFFF
auipc    $26    0x40000
sub     $5     $5     $25    
addi    $5     $5     -1
sub      $28    $27    $5     
sub      $5     $5     $28    
addi     $28    $30    0
addi    $5     $5     31
sw      $5     $31    20    
flw     $5     $31    20    
addi    $6     $6     -4
addi    $6     $6     414
addi    $7     $7     9
sub      $28    $27    $6     
sub      $6     $6     $28    
addi     $29    $29    1
blt      $29    $7     -12
addi     $28    $30    0
addi     $29    $30    0
addi    $6     $6     0
sub      $28    $27    $6     
sub      $6     $6     $28    
addi     $29    $29    1
blt      $29    $7     -12
addi     $28    $30    0
addi     $29    $30    0
addi    $6     $6     0
addi    $7     $7     -5
sub      $28    $27    $6     
sub      $6     $6     $28    
addi     $29    $29    1
blt      $29    $7     -12
addi     $28    $30    0
addi     $29    $30    0
blt     $6     $26    12
sub     $6     $6     $25    
addi    $6     $6     -1
sub      $28    $27    $6     
sub      $6     $6     $28    
addi     $28    $30    0
addi    $6     $6     0
sw      $6     $31    24    
flw     $6     $31    24    
addi    $7     $7     -4
addi    $7     $7     158
addi    $8     $8     9
sub      $28    $27    $7     
sub      $7     $7     $28    
addi     $29    $29    1
blt      $29    $8     -12
addi     $28    $30    0
addi     $29    $30    0
addi    $7     $7     0
sub      $28    $27    $7     
sub      $7     $7     $28    
addi     $29    $29    1
blt      $29    $8     -12
addi     $28    $30    0
addi     $29    $30    0
addi    $7     $7     0
addi    $8     $8     -5
sub      $28    $27    $7     
sub      $7     $7     $28    
addi     $29    $29    1
blt      $29    $8     -12
addi     $28    $30    0
addi     $29    $30    0
blt     $7     $26    12
sub     $7     $7     $25    
addi    $7     $7     -1
sub      $28    $27    $7     
sub      $7     $7     $28    
addi     $28    $30    0
addi    $7     $7     0
sw      $7     $31    28    
flw     $7     $31    28    
addi    $8     $8     -4
fcvt.w.s    $1     $0     
sw     $1     $31     80    
fcvt.w.s    $2     $1     
sw     $2     $31     84    
fcvt.w.s    $3     $2     
sw     $3     $31     88    
fcvt.w.s    $4     $3     
sw     $4     $31     92    
fcvt.w.s    $5     $4     
sw     $5     $31     96    
fcvt.w.s    $6     $5     
sw     $6     $31     100    
fcvt.w.s    $7     $6     
sw     $7     $31     104    
fcvt.w.s    $8     $7     
sw     $8     $31     108    
eof
